t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519829114,10,15.070644,9.908489,7.194439,2.245854,9.296824,11.623959,15.070644,15.070644,15.070644,15.070644,3.906273,0.000000,0.000000,0.000000,calls/second,milliseconds
1519829352,10,1058.776321,115.863651,7.742495,311.080031,8.607547,15.503920,1058.776321,1058.776321,1058.776321,1058.776321,2.838403,0.000000,0.000000,0.000000,calls/second,milliseconds
1519829936,10,24.011711,14.468232,10.677480,3.926156,12.893141,15.082362,24.011711,24.011711,24.011711,24.011711,3.446942,0.000000,0.000000,0.000000,calls/second,milliseconds
1519830022,20,1044.513038,158.648071,11.102945,225.052055,18.282360,217.161850,253.516243,1044.513038,1044.513038,1044.513038,3.626502,3.600000,3.600000,3.600000,calls/second,milliseconds
1519830022,20,1044.513038,158.648071,11.102945,225.052055,18.282360,217.161850,253.516243,1044.513038,1044.513038,1044.513038,3.479181,3.600000,3.600000,3.600000,calls/second,milliseconds
1519830101,42,940.246854,392.559485,15.009949,281.453360,435.661691,642.751206,862.824004,940.246854,940.246854,940.246854,3.883587,3.615991,3.603306,3.601108,calls/second,milliseconds
1519830101,42,940.246854,392.559485,15.009949,281.453360,435.661691,642.751206,862.824004,940.246854,940.246854,940.246854,3.810219,3.615991,3.603306,3.601108,calls/second,milliseconds
1519830102,42,940.246854,392.559485,15.009949,281.453360,435.661691,642.751206,862.824004,940.246854,940.246854,940.246854,3.738596,3.615991,3.603306,3.601108,calls/second,milliseconds
1519830102,44,940.246854,411.265548,15.009949,287.272146,448.322269,657.184253,872.082367,940.246854,940.246854,940.246854,3.721688,3.615991,3.603306,3.601108,calls/second,milliseconds
1519830102,44,940.246854,411.265548,15.009949,287.272146,448.322269,657.184253,872.082367,940.246854,940.246854,940.246854,3.657247,3.615991,3.603306,3.601108,calls/second,milliseconds
1519830143,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,4.485875,4.600000,4.600000,4.600000,calls/second,milliseconds
1519830143,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,4.150454,4.600000,4.600000,4.600000,calls/second,milliseconds
1519830144,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,3.797484,4.600000,4.600000,4.600000,calls/second,milliseconds
1519830144,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,3.557993,4.600000,4.600000,4.600000,calls/second,milliseconds
1519830145,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,3.293117,4.600000,4.600000,4.600000,calls/second,milliseconds
1519830145,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,3.112588,4.600000,4.600000,4.600000,calls/second,milliseconds
1519830146,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,2.911898,4.600000,4.600000,4.600000,calls/second,milliseconds
1519830146,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,2.770121,4.600000,4.600000,4.600000,calls/second,milliseconds
1519830147,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,2.612134,4.600000,4.600000,4.600000,calls/second,milliseconds
1519830147,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,2.492794,4.264187,4.530580,4.576731,calls/second,milliseconds
1519830148,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,2.365108,4.264187,4.530580,4.576731,calls/second,milliseconds
1519830148,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,2.267447,4.264187,4.530580,4.576731,calls/second,milliseconds
1519830149,25,554.764153,195.912627,11.483038,177.742403,226.795199,258.105613,492.084734,554.764153,554.764153,554.764153,2.160848,4.264187,4.530580,4.576731,calls/second,milliseconds
