t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1519829114,0,0.000000,0.000000,0.000000,0.000000,events/second
1519829352,0,0.000000,0.000000,0.000000,0.000000,events/second
1519829936,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830022,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830022,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830101,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830101,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830102,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830102,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830102,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830103,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830143,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830143,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830144,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830144,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830145,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830145,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830146,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830146,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830147,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830147,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830148,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830148,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830149,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830149,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830150,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830150,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830151,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830151,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830152,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830152,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830152,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830153,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830153,0,0.000000,0.000000,0.000000,0.000000,events/second
1519830153,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831105,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831106,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831106,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831160,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831160,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831161,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831161,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831162,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831162,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831163,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831163,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831164,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831164,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831165,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831165,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831166,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831166,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831167,0,0.000000,0.000000,0.000000,0.000000,events/second
1519831167,0,0.000000,0.000000,0.000000,0.000000,events/second
